AVALIADOR,TITULO,NOME_UNIDADE,ID_PROJETO,BOLSAS,COORDENADOR,NOME_DISCIPLINA
Elizabeth da Silva Guedes                                                       ,GEOPROCESSAMENTO PARA CI√É≈†NCIAS DA NATUREZA E DO AMBIENTE,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2356,2,MARIA LUCIA LORINI                                                              ,GEOPROCESSAMENTO AMBIENTAL
BIANCA IZUMI MAEDA                                                              ,Desenvolvendo atividades acad√™micas na disciplina Nutri√ß√£o Materno-infantil do curso integral.,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,1979,1,MARIA LUCIA TEIXEIRA POLONIO                                                    ,NutriÁ„o Materno Infantil
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,"""As aulas de curr√≠culo como entrelugares de forma√ß√£o"";",Departamento de Did·tica                                                                                                                                                                                                                                      ,2082,1,MARIA LUIZA SUSSEKIND VERISSIMO CINELLI                                         ,CurrÌculo                                                                                                                                                                                                                                                 
ARMANDO PINHEIRO NETO                                                           ,Inser√ß√£o do Graduando no Ensino Aprendizagem Neonatologia,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2248,2,MARIA MARTA REGAL DE LIMA TORTORI                                               ,MOD-NEONATOLOGIA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,ASSIST√É≈†NCIA DISCENTE PARA MELHOR APROVEITAMENTO ACAD√É≈†MICO,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2026,2,MARIANA SIM’ES LARRAZ FERREIRA                                                  ,ComposiÁ„o de Alimentos
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,MARKETING ESTRAT√É‚Ä∞GICO EM ORGNIZA√É‚Ä°√É‚Ä¢ES P√É≈°BLICAS: ENTENDENDO O COMPORTAMENTO DO CIDAD√É∆íO COMO CONSUMIDOR,Departamento de EstratÈgias de Gest„o                                                                                                                                                                                                                         ,2215,2,MARINA DIAS DE FARIA                                                            ,MARKETING ESTRAT…GICO
BIANCA IZUMI MAEDA                                                              ,ARTE E INDUMENT√ÅRIA NOS PER√çODOS ART√çSTICOS.,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2206,2,MARISA VIANNA SALOMAO                                                           ,MUSEOLOGIA E ARTE OCIDENTAL II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,A Monitoria como possibilidade de amplia√ß√£o na Forma√ß√£o Acad√™mica inovadora - Epidemiologia e Enfermagem,Departamento de Enfermagem em Sa˙de P˙blica                                                                                                                                                                                                                   ,2126,2,MARY ANN MENEZES FREIRE MORAIS                                                  ,EPIDEMIOLOGIA E ENFERMAGEM
BIANCA IZUMI MAEDA                                                              ,Monitoria em Biologia Vegetal II,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,2226,2,MICHELLE CRISTINA SAMPAIO                                                       ,BIOLOGIA VEGETAL II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Perfil Nutricional de Alunos do Curso de Nutri√ß√£o,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2353,2,MICHELLE TEIXEIRA TEIXEIRA                                                      ,AvaliaÁ„o Nutricional
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,"Tentativas de uma historiografia para o Teatro Infantil Brasileiro:  Anos 1940, 1950 e 1960",Departamento de Ensino de Teatro                                                                                                                                                                                                                              ,2308,1,MIGUEL VELLINHO VIEIRA                                                          ,TEATRO INFANTO-JUVENIL
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Preserva√ß√£o do Patrim√¥nio Neog√≥tico do Estado do Rio de Janeiro:Mapeamento e Diagn√≥stico de Conserva√ß√£o,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2234,2,MIRIAM ANDR…A DE OLIVEIRA                                                       ,MUSEOLOGIA E PRESERVA«√O II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,An√°lise cr√≠tica na constru√ß√£o e avalia√ß√£o de linguagens document√°rias: pr√°ticas did√°tico- pedag√≥gicas na perspectiva interdisciplinar,Departamento de Estudos e Processos BiblioteconÙmicos                                                                                                                                                                                                         ,2209,2,MIRIAM GONTIJO DE MORAES                                                        ,ORGANIZA«√O DO CONHECIMENTO II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Maquiagem e efeitos especiais,Departamento de InterpretaÁ„o Teatral                                                                                                                                                                                                                         ,1970,1,MONICA FERREIRA MAGALHAES                                                       ,CARACTERIZA«√O I - CAR I                                                                                                                                                                                                                                  
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Fundamentos te√≥ricos e pr√°ticos de Farmacologia para o Curso de Biomedicina,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2315,2,MONIQUE BANDEIRA MOSS                                                           ,FARMACOLOGIA  I                                                                                                                                                                                                                                           
ARMANDO PINHEIRO NETO                                                           ,O ensino de normaliza√ß√£o document√°ria atrav√©s de apresenta√ß√£o de semin√°rios e elabora√ß√£o de mini-cursos,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,1962,2,NAIRA CHRISTOFOLETTI SILVEIRA                                                   ,NORMALIZA«√O DOCUMENT¡RIA
ARMANDO PINHEIRO NETO                                                           ,Movimento e Percep√ß√£o: pr√°ticas pedag√≥gicas,Departamento de InterpretaÁ„o Teatral                                                                                                                                                                                                                         ,2064,2,NARA WALDEMAR KEISERMAN                                                         ,EXPRESS√O CORPORAL I - ECO I                                                                                                                                                                                                                              
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Planejamento ambiental em tempo de mudan√ßas clim√°ticas,Departamento de CiÍncias do Ambiente                                                                                                                                                                                                                          ,2081,1,NATASCHA KREPSKY                                                                ,PLANEJAMENTO AMBIENTAL
BIANCA IZUMI MAEDA                                                              ,Filosofia da cultura brasileira,Departamento de Filosofia                                                                                                                                                                                                                                     ,1863,2,NILTON JOS… DOS ANJOS DE OLIVEIRA                                               ,FILOSOFIA DA CULTURA BRASILEIRA I
ARMANDO PINHEIRO NETO                                                           ,INTRODU√É‚Ä°√É∆íO DO ALUNO NAS ATIVIDADES DID√É¬ÅTICAS TE√É‚ÄúRICO-PR√É¬ÅTICAS DO COMPONENTE CURRICULAR QU√É¬çMICA ANAL√É¬çTICA QUANTITATIVA,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2246,2,ORLANDO MARINO GADAS DE MORAES                                                  ,QuÌmica AnalÌtica Quantitativa
ARMANDO PINHEIRO NETO                                                           ,Biof√≠sica para Licenciatura Biol√≥gica,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,1974,1,PATRICIA CRISTINA DOS SANTOS COSTA                                              ,BIOFISICA                                                                                                                                                                                                                                                 
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,"Inser√ß√£o do graduando no processo de ensino- aprendizagem como instrumento real de aquisi√ß√£o de habilidades e compet√™ncias no desafio da pr√°tica cl√≠nica, diagn√≥stico e tratamento das doen√ßas na Inf√¢ncia.",Departamento de Medicina Geral                                                                                                                                                                                                                                ,2335,2,PATRICIA FERNANDES BARRETO MACHADO COSTA                                        ,MOD-CLÕNICA DA CRIAN«A E DO ADOLESCENTE II
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,A reponsabilidade civil constitucional,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2034,1,PATRICIA RIBEIRO SERRA VIEIRA                                                   ,DIREITO CIVIL III- RESPONSABILIDADE CIVIL
ALCIDES WAGNER SERPA GUARINO                                                    ,QUEST√É‚Ä¢ES CONTEMPOR√É‚ÄöNEAS DA ADMINISTRA√É‚Ä°√É∆íO P√É≈°BLICA √¢‚Ç¨‚Äú PARTE II,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2066,2,PATRÕCIA REGINA PINHEIRO SAMPAIO                                                ,DIREITO ADMINISTRATIVO I
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Conceitos de gerenciamento de neg√≥cios aplicados na ind√∫stria de bens e servi√ßos,Departamento de Engenharia de ProduÁ„o                                                                                                                                                                                                                        ,2196,1,PAULA SANTOS CERYNO                                                             ,GEST√O DE CUSTOS
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas Investigativas em Bioqu√≠mica de Alimentos,Departamento de BioquÌmica                                                                                                                                                                                                                                    ,2129,2,PAULO SERGIO MARCELLINI                                                         ,BioquÌmica de Alimentos
BIANCA IZUMI MAEDA                                                              ,Monitoria de T√©cnicas de Programa√ß√£o II,Departamento de Inform·tica Aplicada                                                                                                                                                                                                                          ,2228,1,Pedro Nuno de Souza Moura                                                       ,T…CNICAS DE PROGRAMA«√O II                                                                                                                                                                                                                                
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Contribui√ß√£o do aluno monitor na mudan√ßa do aprendizado de Cl√≠nica Cir√∫rgica,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2201,1,PEDRO EDER PORTARI FILHO                                                        ,MOD-INTERNATO EM CLÕNICA CIR⁄RGICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,A import√¢ncia do m√©todo nas pesquisas: um enfoque no campo arquiv√≠stico,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2115,2,PRISCILA RIBEIRO GOMES                                                          ,METODOLOGIA DA PESQUISA ARQUIVÕSTICA                                                                                                                                                                                                                      
BIANCA IZUMI MAEDA                                                              ,Ensino de L√É¬≠ngua Portuguesa como segunda l√É¬≠ngua para Surdos √¢‚Ç¨‚Äú Subs√É¬≠dios para forma√É¬ß√É¬£o docente,Departamento de Did·tica                                                                                                                                                                                                                                      ,2478,2,RACHEL COLACIQUE GOMES                                                          ,LÌngua Brasileira de Sinais                                                                                                                                                                                                                               
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Biogeografia Pr√°tica,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,2325,2,RAFAEL DA ROCHA FORTES                                                          ,BIOGEOGRAFIA APLICADA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,DESENVOLVIMENTO E APLICA√É‚Ä°√É∆íO DE NOVAS PR√É¬ÅTICAS EM T√É‚Ä∞CNICA DIET√É‚Ä∞TICA I,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2092,2,RAFAEL SILVA CADENA                                                             ,TÈcnica DietÈtica I
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Capacitando em Enfermagem na Sa√∫de do Adulto e do Idoso com Foco em Cardiologia,Departamento de Enfermagem MÈdico-Cir˙rgica                                                                                                                                                                                                                   ,2169,2,Renata Fl·via Abreu da Silva                                                    ,ENFERMAGEM NA ATEN«√O ¿ SA⁄DE DO ADULTO E DO IDOSO
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,PROJETO MONITORIA - DISCIPLINA DE ADMINISTRA√É‚Ä°√É∆íO GERAL APLICADA A NUTRI√É‚Ä°√É∆íO,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2008,2,RENATA BORCHETTA FERNANDES FONSECA                                              ,AdministraÁ„o Geral Aplicada ‡ NutriÁ„o
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Microbiologia para Nutri√ß√£o,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2107,2,RENATO GERALDO DA SILVA FILHO                                                   ,Microbiologia
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Praticando o pensamento evolutivo,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,2237,2,RICARDO CAMPOS DA PAZ                                                           ,EVOLU«√O                                                                                                                                                                                                                                                  
ARMANDO PINHEIRO NETO                                                           ,Fun√ß√£o Social da Propriedade,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2069,1,RICARDO LUIZ SICHEL                                                             ,DIREITO CIVIL V- PROPRIEDADES
BIANCA IZUMI MAEDA                                                              ,Monitoria em Higiene de Alimentos: percep√ß√£o e qualifica√ß√£o em controle e vigil√¢ncia sanit√°ria,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,2470,2,RINALDINI CORALINI PHILIPPO TANCREDI                                            ,Higiene dos Alimentos
BIANCA IZUMI MAEDA                                                              ,√¢‚Ç¨≈ìO atendimento ambulatorial como m√É¬©todo de ensino da pr√É¬°tica M√É¬©dica: Monitoria ambulatorial e na enfermaria de cl√É¬≠nica m√É¬©dica√¢‚Ç¨¬ù,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2417,2,RogÈrio Neves Motta                                                             ,MOD-PR¡TICAS INTEGRADORAS IV
ARMANDO PINHEIRO NETO                                                           ,Novas Tecnologias de Comunica√ß√£o aplicadas √† Educa√ß√£o,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2039,2,ROBERTA LOUREN«O ZIOLLI                                                         ,QUÕMICA GERAL E INORG¬NICA                                                                                                                                                                                                                                
BIANCA IZUMI MAEDA                                                              ,Novas perspectivas da sociologia jur√≠dica e a democratiza√ß√£o do acesso √† justi√ßa,"Departamento de Fundamentos em CiÍncias JurÌdicas, PolÌticas e de AdministraÁ„o                                                                                                                                                                               ",1975,2,RODOLFO LIBERATO DE NORONHA                                                     ,SOCIOLOGIA JURÕDICA
BIANCA IZUMI MAEDA                                                              ,CONTE√É≈°DO TE√É‚ÄúRICO E APLICA√É‚Ä°√É∆íO DA L√É‚ÄúGICA - ANO IV,Departamento de Filosofia                                                                                                                                                                                                                                     ,2245,1,RODOLFO PETR‘NIO DA COSTA ARA⁄JO                                                ,L”GICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Forma√ß√£o hist√≥rica do Brasil (1500-2010),Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2321,2,RODRIGO CASTELO BRANCO SANTOS                                                   ,FORMA«√O SOCIAL POLÕTICA E ECON‘MICA DO BRASIL
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Por dentro do licenciamento ambiental de atividades tur√≠sticas,Departamento de Direito Positivo                                                                                                                                                                                                                              ,1934,1,RODRIGO MACHADO VILANI                                                          ,DIREITO AMBIENTAL
BIANCA IZUMI MAEDA                                                              ,A t√©cnica enquanto problema filos√≥fico,Departamento de Filosofia                                                                                                                                                                                                                                     ,1852,2,RODRIGO RIBEIRO ALVES NETO                                                      ,Filosofia da CiÍncia e da Tecnologia
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Pr√°ticas no  Ensino de  Administra√ß√£o em Servi√ßos de Alimenta√ß√£o II,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2220,2,ROSA MARIA DE SA ALVES                                                          ,AdministraÁ„o de ServiÁo de AlimentaÁ„o I
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Ensino de Imunologia para Biomedicina,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2095,1,ROSA MARIA TAVARES HAIDO                                                        ,IMUNOLOGIA                                                                                                                                                                                                                                                
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,A filosofia e sua hist√≥ria entre modernidade e contemporaneidade (Ano II),Departamento de Filosofia                                                                                                                                                                                                                                     ,2291,2,ROSARIO PECORARO                                                                ,INTRODU«√O ¿ FILOSOFIA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Explorando os cl√°ssicos da filosofia pol√≠tica: texto e contexto,Departamento de Filosofia                                                                                                                                                                                                                                     ,2011,2,SAMIR HADDAD                                                                    ,FILOSOFIA POLÕTICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Qu√≠mica Org√¢nica para os cursos noturnos,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2145,2,SAMIRA DA GUIA MELLO PORTUGAL                                                   ,QUÕMICA ORG¬NICA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,O Estudo do Alimento no di√°logo entre o aluno de Nutri√ß√£o e a Comunidade,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2042,1,SANDRA MARIA MENDES RODRIGUES PEREIRA                                           ,Estudo Experimental dos Alimentos                                                                                                                                                                                                                         
BIANCA IZUMI MAEDA                                                              ,Monitoria de Enfermagem na Aten√ß√£o Prim√°ria √† Sa√∫de: perspectivas para o cuidado da popula√ß√£o no cen√°rio da Sa√∫de Coletiva,Departamento de Enfermagem em Sa˙de P˙blica                                                                                                                                                                                                                   ,1858,2,Simone Mendes Carvalho                                                          ,ENFERMAGEM NA ATEN«√O PRIM¡RIA ¿ SA⁄DE
BIANCA IZUMI MAEDA                                                              ,PROJETO DE MONITORIA,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2459,1,SILAS FANTIN                                                                    ,¡LGEBRA LINEAR I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Elabora√ß√£o de exerc√≠cios e atualiza√ß√£o de conte√∫dos em Forma√ß√£o e Desenvolvimento de Cole√ß√µes,Departamento de Estudos e Processos BiblioteconÙmicos                                                                                                                                                                                                         ,2288,1,SIMONE DA ROCHA WEITZEL                                                         ,FORMA«√O E DESENVOLVIMENTO DE COLE«’ES                                                                                                                                                                                                                    
ARMANDO PINHEIRO NETO                                                           ,Ocupa√É¬ß√É¬£o urbana e hist√É¬≥rica do Rio de Janeiro:  A import√É¬¢ncia das APAC√¢‚Ç¨‚Ñ¢s no turismo urbano,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,1995,2,SIMONE FEIGELSON DEUTSCH                                                        ,PRATICA EM TURISMO B                                                                                                                                                                                                                                      
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Atualiza√ß√£o jurisprudencial em mat√©ria processual penal nos Tribunais Superiores,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2121,1,SIMONE SCHREIBER                                                                ,DIREITO PROCESSUAL PENAL II
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Fundamentos pr√°ticos e te√≥ricos da Fisiologia Humana,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2118,1,SOLANGE CAMPOS VICENTINI                                                        ,Fisiologia Humana
BIANCA IZUMI MAEDA                                                              ,Fundamentos te√≥ricos e pr√°ticos para o curso de Medicina,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2275,2,StÍnio Karlos Alvim Fiorelli                                                    ,MOD-T…CNICA OPERAT”RIA E CIRURGIA EXPERIMENTAL
ARMANDO PINHEIRO NETO                                                           ,Estat√≠stica baseada em atividade: Aplica√ß√£o pr√°tica de M√©todos Quantitativos em Ci√™ncias Sociais,Departamento de Estudos PolÌticos                                                                                                                                                                                                                             ,2067,1,STEVEN DUTT-ROSS                                                                ,ESTATÕSTICA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Reflex√µes sobre Direito e Legisla√ß√£o Social no Brasil,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2139,1,SUSIDARLEY FIDELIS DA MOTA                                                      ,DIREITO E LEGISLA«√O SOCIAL
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,PROJETO MONITORIA  DISCIPLINA DE ADMINISTRA√É‚Ä°√É∆íO DE SERVI√É‚Ä°OS DE ALIMENTA√É‚Ä°√É∆íO I,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2186,2,TAÕSSA LIMA TORRES DA SILVA                                                     ,AdministraÁ„o de ServiÁo de AlimentaÁ„o I
ARMANDO PINHEIRO NETO                                                           ,Pedagogia da Performance,Departamento de InterpretaÁ„o Teatral                                                                                                                                                                                                                         ,1998,2,TANIA ALICE CAPLAIN FEIX                                                        ,ATUA«√O C NICA VI
BIANCA IZUMI MAEDA                                                              ,Percebendo Pol√≠ticas P√∫blicas. 4a.Fase - 2014/15,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2458,2,TANIA GUIMARAES OMENA                                                           ,POLÕTICAS P⁄BLICAS E TURISMO I                                                                                                                                                                                                                            
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,OS ESQUECIDOS HIST√É‚ÄúRICOS: INTERFACES ENTRE A QUEST√É∆íO DA IDENTIDADE NACIONAL E A HIST√É‚ÄúRIA DO PENSAMENTO EDUCACIONAL BRASILEIRO,Departamento de Fundamentos da EducaÁ„o                                                                                                                                                                                                                       ,2013,2,TANIA MARA TAVARES DA SILVA                                                     ,Pensamento Educacional Brasileiro                                                                                                                                                                                                                         
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Novas pr√°ticas de ensino e elabora√ß√£o de exerc√≠cios em Organiza√ß√£o do Conhecimento,Departamento de Estudos e Processos BiblioteconÙmicos                                                                                                                                                                                                         ,2286,2,TATIANA DE ALMEIDA                                                              ,ORGANIZA«√O DO CONHECIMENTO II
BIANCA IZUMI MAEDA                                                              ,Interagindo com a Ecologia,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,1854,2,TATIANA FABRICIO MARIA                                                          ,ECOLOGIA B¡SICA                                                                                                                                                                                                                                           
BIANCA IZUMI MAEDA                                                              ,Medicina Psicossom√°tica,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2016,2,TEREZINHA DE SOUZA AGRA BELMONTE                                                ,MOD-PSICOLOGIA M…DICA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Metodologia da Pesquisa Cient√≠fica,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2389,2,TEREZINHA MARTINS DOS SANTOS SOUZA                                              ,METODOLOGIA DA PESQUISA CIENTÕFICA
BIANCA IZUMI MAEDA                                                              ,"A educa√ß√£o alimentar e nutricional: um processo de aprendizagem integrada por meio do ensino, pesquisa e extens√£o",Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2060,1,THAIS SALEMA NOGUEIRA DE SOUZA                                                  ,EducaÁ„o Nutricional                                                                                                                                                                                                                                      
BIANCA IZUMI MAEDA                                                              ,O Princ√≠pio do in dubio pro societate como argumento para decreta√ß√£o de pris√£o preventiva no Tribunal de Justi√ßa do Estado do Rio de Janeiro,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2463,1,THIAGO BOTTINO DO AMARAL                                                        ,DIREITO PENAL I- PARTE GERAL
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,"PROJETO DE ENSINO √¢‚Ç¨‚Äú MONITORIA PARA A √É¬ÅREA DE FILOSOFIA √¢‚Ç¨‚Äú CONHECIMENTO, POL√É¬çTICA E INFORMA√É‚Ä°√É∆íO: LEITURAS DA REALIDADE √¢‚Ç¨‚Äú ANO III",Departamento de Filosofia                                                                                                                                                                                                                                     ,2351,2,VALERIA CRISTINA LOPES WILKE                                                    ,FILOSOFIA E INFORMA«√O NA CONTEMPORANEIDADE
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Ensino-Pesquisa na Parasitologia para o Curso de Nutri√ß√£o,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,1931,2,VALERIA MAGALHAES AGUIAR COELHO                                                 ,Parasitologia
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Apoio ao Aprendizado de Estruturas de Dados e seus Algoritmos,Departamento de Inform·tica Aplicada                                                                                                                                                                                                                          ,2388,2,VANIA MARIA FELIX DIAS                                                          ,ESTRUTURAS DE DADOS II                                                                                                                                                                                                                                    
ALCIDES WAGNER SERPA GUARINO                                                    ,ORGANIZA√É‚Ä°√É∆íO DA MEM√É‚ÄúRIA DOCUMENT√É¬ÅRIA representa√É¬ß√É¬£o de objetos/recursos no blog √¢‚Ç¨≈ìEstudos sobre mem√É¬≥ria e informa√É¬ß√É¬£o√¢‚Ç¨¬ù,Departamento de Processos TÈcnico-Documentais                                                                                                                                                                                                                 ,2006,1,VERA LUCIA DOYLE LOUZADA DE MATTOS DODEBEI                                      ,AN¡LISE DA INFORMA«√O                                                                                                                                                                                                                                     
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Forma√ß√£o Continuada em Turismo Hist√≥rico Cultural,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2091,2,VERA L⁄CIA BOG…A BORGES                                                         ,TURISMO HIST”RICO-CULTURAL                                                                                                                                                                                                                                
BIANCA IZUMI MAEDA                                                              ,FORMA√É‚Ä°√É∆íO DO ESTUDANTE DE NUTRI√É‚Ä°√É∆íO PARA O DESENVOLVIMENTO √É‚Ç¨ DOC√É≈†NCIA NA DISCIPLINA CONTROLE MICROBIOL√É‚ÄúGICO,Departamento de Tecnologia dos Alimentos                                                                                                                                                                                                                      ,1972,2,VICTOR AUGUSTUS MARIN                                                           ,Controle MicrobiolÛgico de Alimentos
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas Pedag√≥gicas no Ensino de Teatro,Departamento de Ensino de Teatro                                                                                                                                                                                                                              ,1944,2,VIVIANE BECKER NARVAES                                                          ,EST¡GIO SUPERVISIONADO I
DIANA CRISTINA ALVES DA PENHA                                                   ,Espa√ßos aut√¥nomos e direito √† cidade: novas formas de se fazer museologia? Um levantamento preliminar,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,1985,1,VLADIMIR SIBYLLA PIRES                                                          ,MUSEOLOGIA V
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Fundamentos te√≥ricos da Pr√°tica Jur√≠dica: aliando teoria consistente com pr√°tica √∫til,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2318,2,WALTER DOS SANTOS RODRIGUES                                                     ,DIREITO PROCESSUAL CIVIL I - PROCESSO DE CONHECIMENTO
ARMANDO PINHEIRO NETO                                                           ,Educa√ß√£o Ambiental e Cidadania: contribuindo com a sociedade atrav√©s da forma√ß√£o de cidad√£os √©ticos.,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,1993,2,WANDERSON FERNANDES DE CARVALHO                                                 ,EDUCA«√O AMBIENTAL E CIDADANIA                                                                                                                                                                                                                            
