AVALIADOR,TITULO,NOME_UNIDADE,ID_PROJETO,BOLSAS,COORDENADOR,NOME_DISCIPLINA
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Atua√ß√£o Auxiliar na Transmiss√£o de Conhecimentos Aplic√°veis √†s Doen√ßas Vasculares,Departamento de Cirurgia Geral e Especializada                                                                                                                                                                                                                ,2239,1,ANTONIO LUIZ DE ARAUJO                                                          ,Pr·tica de TerapÍutica Vascular I e II
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria de Cl√≠nica M√©dica: uma associa√ß√£o ensino e pesquisa,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2168,2,ARTHUR FERNANDES CORTEZ                                                         ,MOD-SEMIOLOGIA E PROPED UTICA DO ADULTO II
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,A Gest√£o de Opera√ß√µes na Gest√£o P√∫blica,Departamento de EstratÈgias de Gest„o                                                                                                                                                                                                                         ,2094,2,ARTUR LUIZ SANTANA MOREIRA                                                      ,ADMINISTRA«√O DA PRODU«√O
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Primeira Viv√™ncia na Pr√°tica Ecol√≥gica,Departamento de Ecologia e Recursos Marinhos                                                                                                                                                                                                                  ,2208,2,Betina Kozlowsky Suzuki                                                         ,ELEMENTOS DE ECOLOGIA                                                                                                                                                                                                                                     
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Projeto de monitoria da disciplina Complementos de Matem√°tica II,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,2012,2,BEATRIZ MALAJOVICH                                                              ,COMPLEMENTOS DE MATEM¡TICA II                                                                                                                                                                                                                             
BIANCA IZUMI MAEDA                                                              ,A Economia na Ordem P√∫blica,"Departamento de Fundamentos em CiÍncias JurÌdicas, PolÌticas e de AdministraÁ„o                                                                                                                                                                               ",1857,2,BENEDITO FONSECA E SOUZA ADEODATO                                               ,ECONOMIA POLÕTICA I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria da disciplina de Estat√≠stica para as turmas de Sistemas de Informa√ß√£o,Departamento de Matem·tica e EstatÌstica                                                                                                                                                                                                                      ,1935,2,BRUNO  FRANCISCO TEIXEIRA SIM’ES                                                ,ESTATÕSTICA
BIANCA IZUMI MAEDA                                                              ,PROJETO DE ENSINO EM MUSEOLOGIA TE√É‚ÄúRICA,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2167,2,BRUNO C…SAR BRULON SOARES                                                       ,MUSEOLOGIA I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°ticas Educativas em Biologia Vegetal I e suas implica√ß√µes ambientais,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,1936,2,CAMILA MAISTRO PATREZE                                                          ,BIOLOGIA VEGETAL I
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Teoria do Turismo de A a Z,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2310,1,CAMILA MARIA DOS SANTOS MORAES                                                  ,TEORIA GERAL DO TURISMO I                                                                                                                                                                                                                                 
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Transportes e Turismo,Departamento de Turismo e PatrimÙnio                                                                                                                                                                                                                          ,2160,2,CARLA CONCEI«√O LANA FRAGA                                                      ,TRANSPORTES E TURISMO                                                                                                                                                                                                                                     
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Pr√°ticas audiovisuais no processo de ensino-aprendizagem,Departamento de Teoria do Teatro                                                                                                                                                                                                                              ,2093,1,CARLA DA SILVA MIGUELOTE                                                        ,IND⁄STRIA CULTURAL E LINGUAGENS AUDIOVISUAIS
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Pr√°tica em Sa√∫de 1: territ√≥rios existenciais e cartografia de itiner√°rios no cotidiano da vida na interface do cuidado e da sa√∫de coletiva,Departamento de Medicina Geral                                                                                                                                                                                                                                ,1919,2,CARLA PONTES DE ALBUQUERQUE                                                     ,PR¡TICAS EM SA⁄DE I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Monitoria em Pol√≠tica Social I,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2140,2,CARLA SILVANA DANIEL SARTOR                                                     ,POLÕTICA SOCIAL I
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,O ensino sendo colocado na pr√°tica profissional do Gestor de Bibliotecas,Departamento de Estudos e Processos BiblioteconÙmicos                                                                                                                                                                                                         ,2300,2,CARLOS ALBERTO FERREIRA                                                         ,ORGANIZA«√O E ADMINISTRA«√O DE BIBLIOTECAS I
BIANCA IZUMI MAEDA                                                              ,Fundamentos te√≥ricos e pr√°ticos de Farmacologia para o Curso de Medicina: uso racional de medicamentos.,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2279,2,CARLOS ALBERTO LACERDA PINTO                                                    ,FARMACOLOGIA II
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,PROJETO RIO,Departamento de CiÍncias do Ambiente                                                                                                                                                                                                                          ,2392,2,CARLOS AUGUSTO ASSUMP«√O DE FIGUEIREDO                                          ,GEST√O AMBIENTAL
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Desenvolvendo Compet√™ncias e Habilidades para o Cen√°rio Hospitalar: Enfermagem na Sa√∫de do Adulto e Idoso,Departamento de Enfermagem MÈdico-Cir˙rgica                                                                                                                                                                                                                   ,2205,2,CARLOS MAGNO CARVALHO DA SILVA                                                  ,ENFERMAGEM NA ATEN«√O ¿ SA⁄DE DO ADULTO E DO IDOSO
BIANCA IZUMI MAEDA                                                              ,Direitos Fundamentais da Pessoa Humana - Do reconhecimento √† efetiva√ß√£o,Departamento de Direito Positivo                                                                                                                                                                                                                              ,1980,1,CELSO DE ALBUQUERQUE SILVA                                                      ,DIREITO CONSTITUCIONAL I
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Elabora√ß√£o de Recursos Audiovisuais para o Ensino de Microscopia em Aulas Pr√°ticas de Patologia Geral para o Curso de Biomedicina.,Departamento de Microbiologia e Parasitologia                                                                                                                                                                                                                 ,2136,2,CESAR DE SOUZA BASTOS JUNIOR                                                    ,PATOLOGIA GERAL E EXPERIMENTAL                                                                                                                                                                                                                            
BIANCA IZUMI MAEDA                                                              ,ABORDAGEM PR√É¬ÅTICA DO ENSINO SOBRE VEGETAIS FANEROG√É‚ÄöMICOS,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,1851,2,CESAR LUIS SIQUEIRA JUNIOR                                                      ,BIOLOGIA VEGETAL II
ALCIDES WAGNER SERPA GUARINO                                                    ,MICROSCOPIA: T√É‚Ä∞CNICAS MOTIVACIONAIS  AO ESTUDO DA ZOOLOGIA,Departamento de Zoologia                                                                                                                                                                                                                                      ,1971,2,CHRISTINA WYSS CASTELO BRANCO                                                   ,ZOOLOGIA DE INVERTEBRADOS I                                                                                                                                                                                                                               
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,QUEST√É‚Ä¢ES ESPECIAIS DA PARTE ESPECIAL DO C√É‚ÄúDIGO PENAL,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2190,2,CINTHIA RODRIGUES MENESCAL PALHARES                                             ,DIREITO PENAL III
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Avaliar para aprender: um projeto para doc√™ncia,Departamento de Did·tica                                                                                                                                                                                                                                      ,2025,1,CLAUDIA DE OLIVEIRA FERNANDES                                                   ,AvaliaÁ„o e EducaÁ„o                                                                                                                                                                                                                                      
Indispon√≠vel,"PROPOSTA DE ENSINO PARA A DISCIPLINA QU√É¬çMICA GERAL E INORG√É‚ÄöNICA (BIOMEDICINA, BACHARELADO EM CI√É≈†NCIAS BIOL√É‚ÄúGICAS E LICENCIATURA EM CI√É≈†NCIAS BIOL√É‚ÄúGICAS)",Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,1938,2,CLAUDIA JORGE DO NASCIMENTO                                                     ,QUÕMICA GERAL E INORG¬NICA                                                                                                                                                                                                                                
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Ideias pol√≠ticas no mundo moderno: Hist√≥ria e Historiografia,Departamento de HistÛria                                                                                                                                                                                                                                      ,2236,1,CLAUDIA REGINA ANDRADE DOS SANTOS                                               ,HIST”RIA MODERNA II
ARMANDO PINHEIRO NETO                                                           ,ENSINO E APLICABILIDADE NA DISCIPLINA DE PARASITOLOGIA PARA O CURSO DE MEDICINA,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2038,2,CLAUDIA SOARES SANTOS LESSA                                                     ,ABORDAGEM INTEGRADA DAS CAUSAS DE ACIDENTES
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Monitoria como estrat√©gia pedag√≥gica para aprimoramento do processo de ensino-aprendizagem na disciplina de Nutri√ß√£o e Sa√∫de Coletiva do curso noturno,Departamento de NutriÁ„o em Sa˙de P˙blica                                                                                                                                                                                                                     ,2173,2,CL¡UDIA ROBERTA BOCCA SANTOS                                                    ,NutriÁ„o e Sa˙de Coletiva                                                                                                                                                                                                                                 
ALCIDES WAGNER SERPA GUARINO                                                    ,√¢‚Ç¨≈ìMonitoria da Disciplina de Fisiologia para cursos da √É¬Årea de Sa√É¬∫de√¢‚Ç¨¬ù,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2089,1,CRISTIANE BARBOSA ROCHA                                                         ,FISIOLOGIA I ( Geral )                                                                                                                                                                                                                                    
ARMANDO PINHEIRO NETO                                                           ,M√©todos de Pesquisa nas Ci√™ncias Sociais,"Departamento de Fundamentos em CiÍncias JurÌdicas, PolÌticas e de AdministraÁ„o                                                                                                                                                                               ",2061,2,CRISTIANE CORREA BATISTA SANTOS                                                 ,METODOLOGIA DAS CI NCIAS SOCIAIS
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Desenvolvimento Pedag√≥gico Pr√°tico em Anatomia Patol√≥gica,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2033,2,CRISTINA MOREIRA DO NASCIMENTO                                                  ,ANATOMIA PATOL”GICA
ARMANDO PINHEIRO NETO                                                           ,Recodifica√ß√£o e Constitucionaliza√ß√£o: os novos rumos do Direito Civil Brasileiro,Departamento de Direito Positivo                                                                                                                                                                                                                              ,1966,2,DANIEL QUEIROZ PEREIRA                                                          ,DIREITO CIVIL I-TEORIA GERAL DO DIREITO CIVIL
Elizabeth da Silva Guedes                                                       ,Constru√ß√£o e reflex√£o da pr√°tica did√°tico-pedag√≥gica em Hist√≥ria Moderna,Departamento de HistÛria                                                                                                                                                                                                                                      ,2363,2,DANIEL WANDERSON FERREIRA                                                       ,HIST”RIA MODERNA II
DIANA CRISTINA ALVES DA PENHA                                                   ,MONITORIA EM BIOLOGIA ANIMAL I,Departamento de Zoologia                                                                                                                                                                                                                                      ,1992,2,DAVOR VRCIBRADIC                                                                ,BIOLOGIA ANIMAL I
ARMANDO PINHEIRO NETO                                                           ,A Sociedade Empres√°ria no Direito Brasileiro,Departamento de Direito Positivo                                                                                                                                                                                                                              ,2068,1,DEBORA LACS SICHEL                                                              ,DIREITO EMPRESARIAL I
